casename,A_true,n_true,a_true,alpha,beta,A_est,n_est,a_est,alpha_est,beta_est
case69,800.0,1.1,50.0,0.4,0.3,792.1624129507921,1.1033607176610138,49.106623357377146,0.4098667968111819,0.29502295050817867
case70,800.0,1.1,50.0,0.4,0.4,791.5934774543697,1.1035662163284623,49.04397634618981,0.4101295483214162,0.3945207551191377
case71,800.0,1.1,50.0,0.4,0.5,790.9981482858262,1.1037613712298653,48.978704327771396,0.41045996790466716,0.4938801516182714
case72,800.0,1.1,50.0,0.4,0.6,790.4354421573561,1.1037721759209618,48.92630941404995,0.41068933152349507,0.5933661750707983
case73,800.0,1.1,50.0,0.4,0.7,789.8910662994145,1.1034824929185438,48.88945758724789,0.4105844938353296,0.693337776119456
case74,800.0,1.1,50.0,0.4,0.8,789.4514538538688,1.102713087217644,48.88886296663954,0.40995404511000805,0.7942048205101723
case75,800.0,1.1,50.0,0.4,0.9,789.670049747863,1.1018402890822516,48.94226884689367,0.4093392651689231,0.8952263324407042
case76,800.0,1.1,50.0,0.5,-0.9,799.2132076135525,1.1004070544297955,49.90560499984895,0.5067359688919245,-0.9004686455236941
case77,800.0,1.1,50.0,0.5,-0.8,798.369421862377,1.101394276748902,49.77535937077777,0.5048684157872915,-0.7991133500389963
case78,800.0,1.1,50.0,0.5,-0.7,797.5918642219127,1.1020118493954127,49.67350407904633,0.502240347859032,-0.6967703555616497
case79,800.0,1.1,50.0,0.5,-0.6,796.8572584417716,1.1024235696098608,49.58657035047444,0.4955064502353353,-0.59022182427836
case80,800.0,1.1,50.0,0.5,-0.5,796.1528568193987,1.1026734301917522,49.510968987564944,0.6321610734099528,-0.6266751528151172
case81,800.0,1.1,50.0,0.5,-0.4,795.4809896899108,1.1027809198056313,49.445454359688064,0.5170548755597204,-0.4118756404573152
case82,800.0,1.1,50.0,0.5,-0.3,794.8286975325755,1.1027754087620645,49.38724407340206,0.5118308708578027,-0.30665662835265184
case83,800.0,1.1,50.0,0.5,-0.2,794.1888468873329,1.1027118181186912,49.332284219709365,0.5098812336554054,-0.20467829656283587
case84,800.0,1.1,50.0,0.5,-0.1,793.5478024583081,1.102646902907278,49.27674632125432,0.508916609029256,-0.10369345793504817
case85,800.0,1.1,50.0,0.5,-0.0,792.8958202152841,1.1026369096211441,49.216359868538255,0.506034588836095,9.321767305848197e-37
case86,800.0,1.1,50.0,0.5,0.1,792.1950362615454,1.1027662459595537,49.14314565745269,0.5081786677473321,0.09697727591933003
case87,800.0,1.1,50.0,0.5,0.2,791.220071494789,1.103331853942003,49.05549384011287,0.6260044778904762,-1.67151296756409e-19
case88,800.0,1.1,50.0,0.5,0.3,790.819449842407,1.1031870570037248,48.99300577329808,0.5083792431122508,0.2964317601741564
case89,800.0,1.1,50.0,0.5,0.4,790.0601412396637,1.1035365148366867,48.90238133968616,0.5087191273616632,0.39573341163976844
case90,800.0,1.1,50.0,0.5,0.5,789.3346575531946,1.103775966307636,48.82212716648904,0.509096172234494,0.49494203840736734
case91,800.0,1.1,50.0,0.5,0.6,788.6903486889904,1.1037716448653119,48.76416045583277,0.5093997637580464,0.5942638854659217
case92,800.0,1.1,50.0,0.5,0.7,788.0764773370119,1.1034355126236548,48.725835822831606,0.5094379813116225,0.694019405330464
case93,800.0,1.1,50.0,0.5,0.8,787.5110973954471,1.1027192306583675,48.71208728924769,0.5090386356578608,0.7946285971719708
case94,800.0,1.1,50.0,0.5,0.9,786.8086737410107,1.1021470415315635,48.677252254057564,0.5081867844466678,0.8962792918018857
case95,800.0,1.1,50.0,0.6,-0.9,799.016697099639,1.100529744760187,49.88090586512207,0.6075107572000332,-0.9012595299568947
case96,800.0,1.1,50.0,0.6,-0.8,797.9819925983971,1.1016768806191972,49.72508244564853,0.6066987584119892,-0.8008525889787206
case97,800.0,1.1,50.0,0.6,-0.7,797.042145043184,1.1023191277514435,49.607874625207856,0.6050574381406782,-0.6994835682837763
